medicamento,descripcion,peso,presentacion,forma_farmacologica,marca,precio,max_price,precio descontado,descuento,promotion,fuente,scrapping_day,detail_url
seretide,Seretide Evoh 25 mcg /125 mcg Oral Aerosol 120 Dosis,25 mcg,120,dosis,,952.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/seretide-evoh-25-mcg-125-mcg-oral-aerosol-120-dosis.html
pulmicort,Pulmicort 100 mcg Oral 200 Dosis,100 mcg,200,dosis,,916.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/pulmicort-100-mcg-oral-200-dosis.html
pulmicort,Pulmicort .250 mcg Suspensión 5 Ampolletas 2 ml,2 ml,5,ampolletas,,466.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/pulmicort-250-mcg-suspension-5-ampolletas-2-ml.html
pulmicort,Pulmicort .125 mcg Suspensión 5 Ampolletas 2 ml,2 ml,5,ampolletas,,372.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/pulmicort-125-mcg-suspension-5-ampolletas-2-ml.html
symbicort,Symbicort 320 mcg/ 9 mcg Oral 60 Dosis,320 mcg,60,dosis,,1218.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/symbicort-320-mcg-9-mcg-oral-60-dosis.html
symbicort,Symbicort 80 mcg/ 4.5 mcg Oral 60 Dosis,80 mcg,60,dosis,,1001.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/symbicort-80-mcg-4-5-mcg-oral-60-dosis.html
symbicort,Symbicort 160 mcg/ 4.5 mcg Oral 60 Dosis,160 mcg,60,dosis,,1019.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/symbicort-160-mcg-4-5-mcg-oral-60-dosis.html
vannair,Vannair 80 mcg/4.5 mcg Oral Aerosol 120 Dosis,80 mcg/4.5 mcg,120,dosis,,1005.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/vannair-80-mcg-4-5-mcg-oral-aerosol-120-dosis.html
vannair,Vannair 160 mcg/ 4.5 mcg Aerosol 120 Dosis,160 mcg,120,dosis,,1156.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/vannair-160-mcg-4-5-mcg-aerosol-120-dosis.html
relvare,Relvare 100 mcg/ 25 mcg Oral 30 Dosis,100 mcg,30,dosis,,1136.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/relvare-100-mcg-25-mcg-oral-30-dosis.html
relvare,Relvare 200 mcg/ 25 mcg Oral 30 Dosis,200 mcg,30,dosis,,1113.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/relvare-200-mcg-25-mcg-oral-30-dosis.html
combivent,Combivent 10 Ampolletas de 2.5 ml,2.5 ml,10,ampolletas,,557.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combivent-10-ampolletas-de-2-5-ml.html
combivent,Combivent Respimat 1.68 mg/ 8.77 mg/ 1 ml Cartucho 4.5 ml 120 Dosis,1.68 mg,120,dosis,,1092.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combivent-respimat-1-68-mg-8-77-mg-1-ml-cartucho-4-5-ml-120-dosis.html
ventolin,Ventolin 4 mg Oral 30 Tabs,4 mg,30,tab,,437.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-4-mg-oral-30-tabs.html
ventolin,Ventolin 2.5 mg 20 Ampolletas 2.5 ml,2.5 ml,20,ampolletas,,478.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-2-5-mg-20-ampolletas-2-5-ml.html
ventolin,Ventolin 100 mcg 200 Dosis,100 mcg,200,dosis,,528.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-100-mcg-200-dosis.html
ventolin,Ventolin 2 mg oral 30 Tabs,2 mg,30,tab,,364.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-2-mg-oral-30-tabs.html
ventolin,Ventolin 18 g oral 200 Dosis,,200,dosis,,594.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-18-g-oral-200-dosis.html
ventolin,Ventolin 5 mg Oral/Nasal 10 ml,5 mg,,,,432.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/ventolin-5-mg-oral-nasal-10-ml.html
atrovent,Atrovent 11.22 g Solucion en Aerosol 10 ml,10 ml,,solucion,,1622.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/atrovent-11-22-g-solucion-en-aerosol-10-ml.html
atrovent,Atrovent 500 mcg/ 2 ml  Solución 10 Ampolletas,500 mcg,10,ampolletas,,1143.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/atrovent-500-mcg-2-ml-solucion-10-ampolletas.html
spiriva,Spiriva Respimat 0.226 mg/ 1ml Cartucho 4ml,0.226 mg,,,,1499.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/spiriva-respimat-0-226-mg-1ml-cartucho-4ml.html
spiriva,Spiriva 18 mcg Oral Dispositivo Dosificador 20 Caps,18 mcg,,,,1255.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/spiriva-18-mcg-oral-dispositivo-dosificador-20-caps.html
spiriva,Spiriva 18 mcg Oral Dispositivo Dosificador 30 Caps,18 mcg,,,,1673.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/spiriva-18-mcg-oral-dispositivo-dosificador-30-caps.html
spiriva,Spiriva 18 mcg Oral Dispositivo Dosificador 10 Caps,18 mcg,,,,816.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/spiriva-18-mcg-oral-dispositivo-dosificador-10-caps.html
spiriva,Spiriva 18 mg Oral Dispositivo Dosificador 30 Caps,18 mg,,,,1871.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/spiriva-18-mg-oral-dispositivo-dosificador-30-caps.html
onbrize,Onbrize Breezhaler 300 mcg 30 Caps,300 mcg,,,,1028.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/onbrize-breezhaler-300-mcg-30-caps.html
onbrize,Onbrize Breezhaler 150 mcg 30 Caps,150 mcg,,,,1038.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/onbrize-breezhaler-150-mcg-30-caps.html
trelegy,Trelegy 200/62.5/25 mcg 30 Dosis,25 mcg,30,dosis,,1541.00,,,,Acumula 2 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/trelegy-200-62-5-25-mcg-30-dosis.html
trelegy,Trelegy 100 mcg/ 62.5 mcg/ 25 mcg 30 Dosis,100 mcg,30,dosis,,1640.00,,,,Acumula 2 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/trelegy-100-mcg-62-5-mcg-25-mcg-30-dosis.html
macrodantina,Macrodantina 50 mg Oral 40 cápsulas,50 mg,40,capsulas,,1412.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/macrodantina-50-mg-oral-40-capsulas.html
macrodantina,Macrodantina 100 mg Oral con 40 Cápsulas.,100 mg,40,capsulas,,1220.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/macrodantina-100-mg-oral-con-40-capsulas.html
fosfocil,Fosfocil 500 mg Infantil 1 ampolleta,500 mg,,,,172.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-500-mg-infantil-1-ampolleta.html
fosfocil,Fosfocil 1 g,,,,,231.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-1-g.html
fosfocil,Fosfocil 250 mg Oral 60 ml,250 mg,,,,275.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-250-mg-oral-60-ml.html
fosfocil,Fosfocil 1 g Solución inyectable,,,,,290.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-1-g-solucion-inyectable.html
fosfocil,Fosfocil 500 mg Oral 6 cápsulas,500 mg,6,capsulas,,299.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-500-mg-oral-6-capsulas.html
fosfocil,Fosfocil 250 mg Oral 120 ml,250 mg,,,,414.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-250-mg-oral-120-ml.html
fosfocil,Fosfocil 500 mg Oral 12 cápsulas,500 mg,12,capsulas,,408.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-500-mg-oral-12-capsulas.html
fosfocil,Fosfocil g U 2 g Oral Inf sobres,,,,,398.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-g-u-2-g-oral-inf-sobres.html
fosfocil,Fosfocil G.U. Adulto 3 g con 1 Sobre,,1,sobre,,493.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/fosfocil-g-u-adulto-3-g-con-1-sobre.html
bactrim,Bactrim 100 ml,100 ml,,,,201.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/bactrim-100-ml.html
bactrim,Bactrim Adulto con 30 comprimidos,,30,comprimidos,,345.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/bactrim-adulto-con-30-comprimidos.html
bactrim,Bactrim Forte con 15 comprimidos 800/160 mg,160 mg,15,comprimidos,,362.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/bactrim-forte-con-15-comprimidos-800-160-mg.html
secotex,Secotex Ocas 0.4 mg Oral 20 tabletas,0.4 mg,20,tabletas,,2530.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/secotex-ocas-0-4-mg-oral-20-tabletas.html
secotex,Secotex Ocas 0.4 mg Oral 30 tabletas,0.4 mg,30,tabletas,,2044.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/secotex-ocas-0-4-mg-oral-30-tabletas.html
avodart,Avodart 0.5 Mg. Oral 90 Capsulas,0.5 mg,90,capsulas,,3527.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/avodart-0-5-mg-oral-90-capsulas.html
avodart,Avodart 0.5 mg Oral 30 cápsulas,0.5 mg,30,capsulas,,1445.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/avodart-0-5-mg-oral-30-capsulas.html
combodart,Combodart 0.0.4mg Oral 30 cápsulas,0.4mg,30,capsulas,,1068.68,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combodart-0-0-4mg-oral-30-capsulas.html
combodart,Combodart Cap 0.5 mg/0.4 mg 90S,0.5 mg,,,,2879.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combodart-cap-0-5-mg-0-4-mg-90s.html
asoflon,Asoflon 0.4 mg con 30 cápsulas,0.4 mg,30,capsulas,,1361.49,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/asoflon-0-4-mg-con-30-capsulas.html
asoflon,Asoflon-Duo 0.50 mg /0.40 mg con 30 cápsulas,0.50 mg,30,capsulas,,974.50,,,,Acumula 2 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/asoflon-duo-con-30-capsulas.html
uprosol,Uprosol 0.4 mg con 30 cápsulas,0.4 mg,30,capsulas,,1236.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/uprosol-0-4-mg-con-30-capsulas.html
uprosol,Uprosolucion 0.4 mg Oral 20 cápsulas Liberación Prolongada,0.4 mg,20,capsulas,,605.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/uprosolucion-0-4-mg-oral-20-capsulas-liberacion-prolongada.html
tamsulosina,Tamsulosina 0.4 mg/20 cápsulas Marca del Ahorro,0.4 mg,20,capsulas,,275.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/tamsulosina-0-4-mg-20-capsulas-marca-del-ahorro.html
tamsulosina,Tamsulosina 0.4 mg Oral 30 cápsulas Marca del Ahorro,0.4 mg,30,capsulas,,393.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/tamsulosina-0-4-mg-oral-30-capsulas-marca-del-ahorro.html
tamsulosina,Tamsulosina 0.4 mg Oral 30 cápsulas 2Piezas Marca del Ahorro,0.4 mg,30,capsulas,,749.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/tamsulosina-0-4-mg-oral-30-capsulas-2piezas-marca-del-ahorro.html
tamsulosina,Asoflon-Duo 0.50 mg /0.40 mg con 30 cápsulas,0.50 mg,30,capsulas,,974.50,,,,Acumula 2 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/asoflon-duo-con-30-capsulas.html
tamsulosina,Asoflon 0.4 mg con 30 cápsulas,0.4 mg,30,capsulas,,1361.49,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/asoflon-0-4-mg-con-30-capsulas.html
tamsulosina,Combodart 0.0.4mg Oral 30 cápsulas,0.4mg,30,capsulas,,1068.68,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combodart-0-0-4mg-oral-30-capsulas.html
tamsulosina,Combodart Cap 0.5 mg/0.4 mg 90S,0.5 mg,,,,2879.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/combodart-cap-0-5-mg-0-4-mg-90s.html
tamsulosina,Dutamid 0.5 mg/0.4 mg Oral 30 Caps,0.5 mg,,,,552.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/dutamid-0-5-mg-0-4-mg-oral-30-caps.html
tamsulosina,Uprosol 0.4 mg con 30 cápsulas,0.4 mg,30,capsulas,,1236.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/uprosol-0-4-mg-con-30-capsulas.html
tamsulosina,Secotex Ocas 0.4 mg Oral 20 tabletas,0.4 mg,20,tabletas,,2530.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/secotex-ocas-0-4-mg-oral-20-tabletas.html
tamsulosina,Secotex Ocas 0.4 mg Oral 30 tabletas,0.4 mg,30,tabletas,,2044.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/secotex-ocas-0-4-mg-oral-30-tabletas.html
tamsulosina,Flucisten 0.4 mg con 20 cápsulas,0.4 mg,20,capsulas,,457.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/flucisten-0-4-mg-con-20-capsulas.html
tamsulosina,Urizia 6 mg/ 0.4 mg con 30 tabletas,6 mg,30,tabletas,,1557.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/urizia-6-mg-0-4-mg-con-30-tabletas.html
sifrol,Sifrol 0.5 mg Oral 30 tabletas,0.5 mg,30,tabletas,,1827.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-0-5-mg-oral-30-tabletas.html
sifrol,Sifrol 1 mg Oral 30 tabletas,1 mg,30,tabletas,,2161.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-1-mg-oral-30-tabletas.html
sifrol,Sifrol 0.25 mg Oral 30 tabletas,0.25 mg,30,tabletas,,1826.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-0-25-mg-oral-30-tabletas.html
sifrol,Sifrol Er 1.5 mg Oral 30 tabletas,1.5 mg,30,tabletas,,4737.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-er-1-5-mg-oral-30-tabletas.html
sifrol,Sifrol Er 0.375 mg Oral 10 tabletas,0.375 mg,10,tabletas,,1905.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-er-0-375-mg-oral-10-tabletas.html
sifrol,Sifrol Er 1.5 mg Oral con 10 tabletas,1.5 mg,10,tabletas,,2055.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-er-1-5-mg-oral-con-10-tabletas.html
sifrol,Sifrol Er 0.75 mg Oral con 10 tabletas,0.75 mg,10,tabletas,,1905.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sifrol-er-0-75-mg-oral-con-10-tabletas.html
azilect,Azilect 1 mg Oral con 10 tabletas,1 mg,10,tabletas,,869.38,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/azilect-1-mg-oral-con-10-tabletas.html
azilect,Azilect 1 mg Oral con 30 tabletas,1 mg,30,tabletas,,2363.24,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/azilect-1-mg-oral-con-30-tabletas.html
stalevo,Stalevo  100/25/200MG 30 Tabs,200mg,30,tab,,1844.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-100-25-200mg-30-tabs.html
stalevo,Stalevo  150/37.5/200MG 30 Tabs,200mg,30,tab,,1834.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-150-37-5-200mg-30-tabs.html
stalevo,Stalevo  200/50/200MG 30 Tabs,200mg,30,tab,,1834.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-200-50-200mg-30-tabs.html
stalevo,Stalevo  50/12.5/200 30 Tabs,,30,tab,,1834.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-50-12-5-200-30-tabs.html
stalevo,Stalevo caja 30 tabletas Recubiertas 150 mg,150 mg,30,tabletas,,1834.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-caja-30-tabletas-recubiertas-150-mg.html
stalevo,Stalevo 50/12.5/200 mg Oral 30 tabletas,200 mg,30,tabletas,,1834.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-50-12-5-200-mg-oral-30-tabletas.html
stalevo,Stalevo caja 30 tabletas Recubiertas 100 mg,100 mg,30,tabletas,,1844.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-caja-30-tabletas-recubiertas-100-mg.html
stalevo,Stalevo caja 30 tabletas Recubiertas 200 mg,200 mg,30,tabletas,,1834.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/stalevo-caja-30-tabletas-recubiertas-200-mg.html
sunam,Sunam 0.25 mg Oral 30 tabletas,0.25 mg,30,tabletas,,664.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sunam-0-25-mg-oral-30-tabletas.html
sunam,Sunam 0.5 mg Oral 30 tabletas,0.5 mg,30,tabletas,,727.00,,,,Acumula 3 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/sunam-0-5-mg-oral-30-tabletas.html
cloisone,Cloisone 250 mg 100 Tabs,250 mg,100,tab,,1448.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/cloisone-250-mg-100-tabs.html
cloisone,Cloisone 250 mg 30 Tabs,250 mg,30,tab,,520.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/cloisone-250-mg-30-tabs.html
aviant,Aviant 5 mg Oral 30 tabletas,5 mg,30,tabletas,,1058.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/aviant-5-mg-oral-30-tabletas.html
aviant,Aviant 50 mg Oral 120 ml Jarabe,50 mg,,,,272.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/aviant-50-mg-oral-120-ml-jarabe.html
aviant,Aviant 5 mg Oral 10 tabletas,5 mg,10,tabletas,,492.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/aviant-5-mg-oral-10-tabletas.html
aviant,Aviant 50 mg Oral 60 ml Solución,50 mg,,solucion,,277.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/aviant-50-mg-oral-60-ml-solucion.html
xuzal,Xuzal 5 mg 10 tabletas,5 mg,10,tabletas,,426.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/xuzal-5-mg-10-tabletas.html
xuzal,Xuzal Gotas 20 ml,20 ml,,,,320.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/xuzal-gotas-20-ml.html
xuzal,Xuzal 5 mg 20 tabletas,5 mg,20,tabletas,,672.00,,,,Acumula 2 y llevate uno gratis,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/xuzal-5-mg-20-tabletas.html
allegra,Allegra® D antihistamínico 10 Tabs,,10,tab,,400.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/allegrar-d-antihistaminico-10-tabs.html
allegra,Allegra® 120 mg antialérgico 10 Tabs,120 mg,10,tab,,374.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/allegrar-120-mg-antialergico-10-tabs.html
allegra,Allegra® 180 mg antialérgico 10 Tabs,180 mg,10,tab,,446.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/allegrar-180-mg-antialergico-10-tabs.html
allegra,Allegra® suspensión pediátrica antihistamínico 150 ml,150 ml,,suspension,,473.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/allegrar-suspension-pediatrica-antihistaminico-150-ml.html
virlix,Virlix 10 mg 20 tabletas,10 mg,20,tabletas,,618.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/virlix-10-mg-20-tabletas.html
virlix,Virlix 10 mg 10 tabletas,10 mg,10,tabletas,,407.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/virlix-10-mg-10-tabletas.html
virlix,Virlix Solución 60 ml P.1G/100 ml,60 ml,,solucion,,352.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/virlix-solucion-60-ml-p-1g-100-ml.html
virlix,Virlix Gotas 10 mg / 10 ml,10 mg,,,,285.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/virlix-gotas-10-mg-10-ml.html
mobicox,Mobicox 15 mg Oral 30 tabletas,15 mg,30,tabletas,,2194.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/mobicox-15-mg-oral-30-tabletas.html
mobicox,Mobicox 15 mg Oral 10 tabletas,15 mg,10,tabletas,,1072.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/mobicox-15-mg-oral-10-tabletas.html
voltaren,Voltaren Emulgel 1.16% 30 g,,,,,96.00,,,,,Farmacias Del Ahorro,18/09/2024 15:43:28,https://www.fahorro.com/voltaren-emulgel-1-16-30-g.html
